id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
M1BK_5O_jWRIdlnnQy0yfA,vida-cantina-sf-san-francisco,Vida Cantina SF,https://s3-media2.fl.yelpcdn.com/bphoto/iks36D0x2-goT7MteTzdQA/o.jpg,False,https://www.yelp.com/biz/vida-cantina-sf-san-francisco?adjust_creative=nfKXO0Fen5oE8ae-C2La5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nfKXO0Fen5oE8ae-C2La5A,100,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 37.79147, 'longitude': -122.40366}","['delivery', 'restaurant_reservation', 'pickup']",$$,"{'address1': '56 Belden Ln', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94104', 'country': 'US', 'state': 'CA', 'display_address': ['56 Belden Ln', 'San Francisco, CA 94104']}",+14155253042,(415) 525-3042,170.00107319667057
9DOYWliUAN9S-ECTZp20XQ,hopstone-farm-and-craft-san-francisco,Hopstone - Farm & Craft,https://s3-media3.fl.yelpcdn.com/bphoto/5-iuwj_ZwUXAaeh7tiBMGw/o.jpg,False,https://www.yelp.com/biz/hopstone-farm-and-craft-san-francisco?adjust_creative=nfKXO0Fen5oE8ae-C2La5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nfKXO0Fen5oE8ae-C2La5A,7,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 37.7936, 'longitude': -122.39991}","['delivery', 'pickup']",,"{'address1': '222 Battery St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94111', 'country': 'US', 'state': 'CA', 'display_address': ['222 Battery St', 'San Francisco, CA 94111']}",+14155362822,(415) 536-2822,359.372300388204
5Mqsd52IEJtV9dUJAhcTlQ,lucky-creation-vegetarian-restaurant-san-francisco,Lucky Creation Vegetarian Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/UZY3QdYltj9mhM7o3byfTQ/o.jpg,False,https://www.yelp.com/biz/lucky-creation-vegetarian-restaurant-san-francisco?adjust_creative=nfKXO0Fen5oE8ae-C2La5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nfKXO0Fen5oE8ae-C2La5A,566,"[{'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'vegan', 'title': 'Vegan'}]",4.0,"{'latitude': 37.7951059659376, 'longitude': -122.407378596858}","['delivery', 'pickup']",$,"{'address1': '854 Washington St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94108', 'country': 'US', 'state': 'CA', 'display_address': ['854 Washington St', 'San Francisco, CA 94108']}",+14159890818,(415) 989-0818,671.4553401956542
1EWkmc_myDLYfvorOnYzEA,hinodeya-downtown-san-francisco-3,Hinodeya Downtown,https://s3-media3.fl.yelpcdn.com/bphoto/l3ZNeYfnEeuaXEHX7B-6aw/o.jpg,False,https://www.yelp.com/biz/hinodeya-downtown-san-francisco-3?adjust_creative=nfKXO0Fen5oE8ae-C2La5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nfKXO0Fen5oE8ae-C2La5A,322,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'japacurry', 'title': 'Japanese Curry'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.5,"{'latitude': 37.794597, 'longitude': -122.404432}","['delivery', 'pickup']",$$,"{'address1': '680 Clay St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94111', 'country': 'US', 'state': 'CA', 'display_address': ['680 Clay St', 'San Francisco, CA 94111']}",+14152006466,(415) 200-6466,467.7993555812169
XKj8_4QdoBMeYcg6OoespA,enjoy-vegetarian-restaurant-san-francisco-2,Enjoy Vegetarian Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/2NtAI4st9VATSDDDDRu_Ng/o.jpg,False,https://www.yelp.com/biz/enjoy-vegetarian-restaurant-san-francisco-2?adjust_creative=nfKXO0Fen5oE8ae-C2La5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nfKXO0Fen5oE8ae-C2La5A,571,"[{'alias': 'chinese', 'title': 'Chinese'}]",4.0,"{'latitude': 37.7959058, 'longitude': -122.4052473}","['delivery', 'pickup']",$$,"{'address1': '839 Kearny St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94108', 'country': 'US', 'state': 'CA', 'display_address': ['839 Kearny St', 'San Francisco, CA 94108']}",+14159567868,(415) 956-7868,625.9031474367436
q2iCxlVFOAVplRZlLazuhQ,the-bite-san-francisco-2,The Bite,https://s3-media4.fl.yelpcdn.com/bphoto/FTt79c-sOn1CP-pJwU0Mug/o.jpg,False,https://www.yelp.com/biz/the-bite-san-francisco-2?adjust_creative=nfKXO0Fen5oE8ae-C2La5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nfKXO0Fen5oE8ae-C2La5A,47,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]",5.0,"{'latitude': 37.78128, 'longitude': -122.4087}","['delivery', 'pickup']",,"{'address1': '996 Mission St', 'address2': None, 'address3': '', 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['996 Mission St', 'San Francisco, CA 94103']}",+14157570414,(415) 757-0414,1226.2136990645813
_BDoTBI2YlyUaWFOXBEF8Q,sababa-san-francisco,Sababa,https://s3-media1.fl.yelpcdn.com/bphoto/ZJldXjthPCLVjeJi2H1YVg/o.jpg,False,https://www.yelp.com/biz/sababa-san-francisco?adjust_creative=nfKXO0Fen5oE8ae-C2La5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nfKXO0Fen5oE8ae-C2La5A,364,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'greek', 'title': 'Greek'}]",4.5,"{'latitude': 37.7911832391356, 'longitude': -122.404289804399}","['delivery', 'pickup']",$$,"{'address1': '329 Kearny St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94108', 'country': 'US', 'state': 'CA', 'display_address': ['329 Kearny St', 'San Francisco, CA 94108']}",+14158006853,(415) 800-6853,212.3840887185201
56gj15LDt8mcDIeKCbu-tg,orens-hummus-san-francisco,Oren's Hummus,https://s3-media2.fl.yelpcdn.com/bphoto/Vk621yuP_J4Qp6_fgC0xCQ/o.jpg,False,https://www.yelp.com/biz/orens-hummus-san-francisco?adjust_creative=nfKXO0Fen5oE8ae-C2La5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nfKXO0Fen5oE8ae-C2La5A,777,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.0,"{'latitude': 37.7866074, 'longitude': -122.4021922}","['delivery', 'restaurant_reservation', 'pickup']",$$,"{'address1': '71 3rd St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94103', 'country': 'US', 'state': 'CA', 'display_address': ['71 3rd St', 'San Francisco, CA 94103']}",+14159156736,(415) 915-6736,468.7915164309995
gR9DTbKCvezQlqvD7_FzPw,north-india-restaurant-san-francisco,North India Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/_nJ2VTeTZe5-gePr8PXTxg/o.jpg,False,https://www.yelp.com/biz/north-india-restaurant-san-francisco?adjust_creative=nfKXO0Fen5oE8ae-C2La5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nfKXO0Fen5oE8ae-C2La5A,2027,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}, {'alias': 'catering', 'title': 'Caterers'}]",4.0,"{'latitude': 37.787789124691, 'longitude': -122.399305736113}","['delivery', 'pickup', 'restaurant_reservation']",$$,"{'address1': '123 Second St', 'address2': '', 'address3': '', 'city': 'San Francisco', 'zip_code': '94105', 'country': 'US', 'state': 'CA', 'display_address': ['123 Second St', 'San Francisco, CA 94105']}",+14153481234,(415) 348-1234,413.9307894856174
CaqzKTAzHfPOIFkLp7xyBQ,mendocino-farms-san-francisco,Mendocino Farms,https://s3-media2.fl.yelpcdn.com/bphoto/SO2h0y1fsVft0aUWp1d2Uw/o.jpg,False,https://www.yelp.com/biz/mendocino-farms-san-francisco?adjust_creative=nfKXO0Fen5oE8ae-C2La5A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nfKXO0Fen5oE8ae-C2La5A,252,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]",4.0,"{'latitude': 37.7927841, 'longitude': -122.4023581}",['delivery'],$$,"{'address1': '465 California St', 'address2': '', 'address3': None, 'city': 'San Francisco', 'zip_code': '94104', 'country': 'US', 'state': 'CA', 'display_address': ['465 California St', 'San Francisco, CA 94104']}",+14153212170,(415) 321-2170,213.75303699597336
